Name,Description,Priority,Notes,IfUsed
vSAN health alarm 'Witness host fault domain misconfigured',Default alarm to monitor changes for the health test 'Witness host fault domain misconfigured',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Witness host not found',Default alarm to monitor changes for the health test 'Witness host not found',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Witness host within vCenter cluster',Default alarm to monitor changes for the health test 'Witness host within vCenter cluster',Low,Can disable if not using VSAN,Low
vSAN health alarms are suppressed,vSAN health alarms are suppressed until the cluster is fully configured or this Quickstart workflow is skipped.,Medium,New in 6.7u1. Can disable if not using VSAN,
VSAN Health Service Alarm,Default alarm that monitors the health status of VSAN Health Services.,Medium,Can disable if not using VSAN,Medium
vSAN health service alarm for Overall Health Summary,Default alarm to monitor changes for the overall health summary,Medium,Can disable if not using VSAN,Medium
vSAN online health alarm 'Advanced vSAN configuration supported',Default alarm to monitor changes for the online health test 'Advanced vSAN configuration supported',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'Controller utility is installed on host',Default alarm to monitor changes for the online health test 'Controller utility is installed on host',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'Controller with pass-through and RAID disks',Default alarm to monitor changes for the online health test 'Controller with pass-through and RAID disks',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'Coredump partition size check',Default alarm to monitor changes for the online health test 'Coredump partition size check',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'Disks usage on storage controller',Default alarm to monitor changes for the online health test 'Disks usage on storage controller',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'Network adapter is VMware certified',Default alarm to monitor changes for the online health test 'Network adapter is VMware certified',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'Physical network adapter speed consistency',Default alarm to monitor changes for the online health test 'Physical network adapter speed consistency',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'RAID controller configuration',Default alarm to monitor changes for the online health test 'RAID controller configuration',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'vCenter Server up to date',Default alarm to monitor changes for the online health test 'vCenter Server up to date',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',Default alarm to monitor changes for the online health test 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'vSAN configuration for LSI-3108 based controller',Default alarm to monitor changes for the online health test 'vSAN configuration for LSI-3108 based controller'',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'vSAN Hosts with new patch available',Default alarm to monitor changes for the online health test 'vSAN Hosts with new patch available',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarm 'vSAN max component size',Default alarm to monitor changes for the online health test 'vSAN max component size',High,New in 6.7u1. Can disable if not using VSAN,
vSAN online health alarms,"This alarm is from vSAN online health, please check the vSAN online health group",High,New in 6.7u1. Can disable if not using VSAN,
vService Manager Health Alarm,vService Manager service alarm to monitor health status,Medium,,
vSphere APIs for IO Filtering (VAIO) Filter Management Operations,Default alarm that is triggered when vSphere APIs for IO Filtering (VAIO) operations (installing/uninstalling/upgrading filters) fail for some hosts in the cluster,Low,,
vSphere Client Health Alarm,vSphere Client service alarm to monitor health status,Medium,,
vSphere Distributed Switch MTU matched status,Default alarm to monitor changes in vSphere Distributed Switch MTU matched status,High,,
vSphere Distributed Switch MTU supported status,Default alarm to monitor changes in vSphere Distributed Switch MTU supported status,High,,
vSphere Distributed Switch teaming matched status,Default alarm to monitor changes in vSphere Distributed Switch teaming matched status,High,,
vSphere Distributed Switch VLAN trunked status,Default alarm to monitor changes in vSphere Distributed Switch VLAN trunked status,High,,
vSphere HA failover in progress,Default alarm to alert when vSphere HA is in the process of failing over virtual machines,High,,
vSphere HA host status,Default alarm to monitor health of a host as reported by vSphere HA,Medium,,
vSphere HA virtual machine failover failed,Default alarm to alert when vSphere HA failed to failover a virtual machine,High,,
vSphere HA virtual machine monitoring action,Default alarm to alert when vSphere HA reset a virtual machine,Medium,,
vSphere HA virtual machine monitoring error,Default alarm to alert when vSphere HA failed to reset a virtual machine,Medium,,
vSphere HA VM Component Protection could not power off a virtual machine,Default alarm that is triggered when vSphere HA VM Component Protection cannot power off a virtual machine with an inaccessible datastore,Low,,
vSphere Health detected new issues in your environment,This alarm is fired when vSphere Health detects new issues in your environment. This alarm will be retriggered even if acknowledged when new issues are detected. Go to Monitor -> Health for a detailed description of the issues.,High,New in 6.7u2,
vSphere UI Health Alarm,vSphere UI service alarm to monitor health status,Medium,New in 6.5,
vSphere vCenter Host Certificate Management Mode,Alarm to monitor changes in the certificate management mode of vCenter Server,Low,,
90% Disk endurance used,Default alarm to monitor SSD disks exceed 90% of the estimated endurance threshold,Low,,
Authorization data sync failure.,"Authorization data is not being synced, thus any latest changes are currently not taken into account.",Low,New Alert,
Autodeploy Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Autodeploy File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Boot Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Boot File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Cluster metadata store degraded alarm,Alarm that indicates that cluster metadata store degraded on the host.,Low,New Alert,
Core and Inventory Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Core and Inventory File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
CPU Exhaustion on ZHLSVC011,Alarm that monitors vSphere CPU Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Datastore usage on disk based on available capacity,Default alarm to monitor datastore disk usage based on available capacity applicable for datastore,Low,New Alert,
Diagnostics Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Diagnostics File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Disk endurance exceeded,Default alarm to monitor SSD disks exceeds the estimated endurance threshold,Low,New Alert,
Diskchain Using Mixed Keys Alarm,Alarm to notify that a diskchain is encrypted with mixed keys,Low,New Alert,
ESXi Dump Collector Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere ESXi Dump Collector File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
ESXi VASA client certificate provision has failed,Default alarm that monitors whether the provision of ESXi VASA client certificate has failed,Low,New Alert,
ESXi VASA client certificate register to some/all VPs has failed,Default alarm that monitors whether register of ESXi VASA client certificate register to some/all VPs has failed,Low,New Alert,
Esxtokend dpu-trust failed alarm,DPU trust failed,Low,New Alert,
Failed to update the certificates for Auto Deploy https://kb.vmware.com/s/article/90465,,Low,New Alert,
Failed to update the certificates for POD https://kb.vmware.com/s/article/90465,The alarm that is triggered to indicate that the POD service failed to load the new certificates. Please address the warning by following the remediation instructions provided in the corresponding event description,Low,New Alert,
Failed to update the certificates for SPS https://kb.vmware.com/s/article/90465,The alarm that is triggered to indicate that the SPS service failed to load the new certificates. Please address the warning by following the remediation instructions provided in the corresponding event description,Low,New Alert,
Failed to update the certificates for Update manager https://kb.vmware.com/s/article/90465,The alarm that is triggered to indicate that the update manager service failed to load the new certificates. Please address the warning by following the remediation instructions provided in the corresponding event description,Low,New Alert,
Failed to update the certificates for VLCM https://kb.vmware.com/s/article/90465,The alarm that is triggered to indicate that the VLCM service failed to load the new certificates. Please address the warning by following the remediation instructions provided in the corresponding event description,Low,New Alert,
Failed to update the certificates for VSAN HEALTH https://kb.vmware.com/s/article/90465,The alarm that is triggered to indicate that the Vsan health service failed to load the new certificates. Please address the warning by following the remediation instructions provided in the corresponding event description,Low,New Alert,
Failed to update the certificates for WCP https://kb.vmware.com/s/article/90465,The alarm that is triggered to indicate that the WCP service failed to load the new certificates. Please address the warning by following the remediation instructions provided in the corresponding event description,Low,New Alert,
High pNic error rate detected. Check the host's vSAN performance view for details,Default alarm to monitor 'pNic Error Rate',Low,New Alert,
High RDT net error detected. Check the host's vSAN performance view for details,Default alarm to monitor 'RDT net error',Low,New Alert,
Host Crypto Disabled Alarm,Alarm to notify that host is crypto disabled.,Low,New Alert,
Host has lost time synchronization,Review the host Time Service Configuration and current operational status report.,Low,New Alert,
Host Memory Mode High Active DRAM Usage,The alarm is triggered when the active memory of all virtual machines on the host exceeds the required DRAM occupancy when the host is configured in Memory Mode. Please consider migrating some virtual machines to other hosts.,Low,New Alert,
Identity Provider Users and Groups token is about to expire,Renew Identity Provider Users and Groups token by navigating to the Identity Provider configuration page,Low,New Alert,
Identity Source LDAP Certificate is about to expire,Renew Identity Source LDAP Certificate,Low,New Alert,
Image Builder Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Image Builder File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Improved virtual disk infrastructure's catalog health alarm,Default alarm to monitor improved virtual disk infrastructure's catalog health status on the host.,Low,New Alert,
Key Management Server Health Status Alarm,Alarm to indicate that key management server is not reachable,Low,New Alert,
Key Provider Not Backed Up,Alarm to indicate that one or more key providers require backup.,Low,New Alert,
Lifecycle Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere lifecycle File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Log Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Log File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
LVM Snapshot Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere LVM snapshot File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
Memory Exhaustion on ZHLSVC011,Alarm that monitors vSphere Memory Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
No eligible disk found to satisfy vSAN ESA prescriptive disk claim specs,Default alarm to check if host has eligible disks to match any of the configured vSAN ESA prescriptive disk claim specs,Low,New Alert,
"On VMCA Root Certificate rotation, register of VC Client Certificate and/or refresh of VASA VP certificate failed for some/all VASA 5.0 or greater VASA providers",Default alarm that monitors whether register of VC Client Certificate and/or refresh of VP certificate on VMCA Root rotation failed for any VASA 5.0 or greater VASA provider,Low,New Alert,
One of the disks is detected with PDL in vSAN ESA Cluster. Please check the host for further details,Default alarm to monitor disks that hit Permanent Device Loss (PDL) in vSAN ESA Cluster,Low,New Alert,
Potential PSOD issue is detected due to improper object flag leak for some of vSAN objects,Default alarm to monitor objects hit improper flag leak for some of vSAN objects,Low,New Alert,
Registering renewed VC Client Certificate failed for some/all VASA providers,Default alarm that monitors whether the register of renewed VC Client Certificate failed for any VASA provider,Low,New Alert,
Root Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Root File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
SEAT Disk Exhaustion on ZHLSVC011,"Alarm that monitors vSphere Stats, events, alarms, and tasks File System Resource Exhaustion. (vCenterServerHostname)",Low,New Alert,
Skyline Health has detected issues in your vSphere environment,This alarm is fired when vSphere Health detects new issues in your environment. This alarm will be retriggered even if acknowledged when new issues are detected. Go to Monitor -> Health for a detailed description of the issues.,Low,New Alert,
STS Certificates Change Alarm,STS Certificates have changed. Trust authority cluster needs to be reconfigured. Please execute step 'Import the Trusted Host Information to the Trust Authority Cluster' from 'vSphere Trust Authority manual'.,Low,New Alert,
STS Signing Certificates are about to expire,"Renew STS Signing Certificates, follow https://kb.vmware.com/s/article/79248",Low,New Alert,
The UPT(Uniform Passthrough) is not activated on network adapter,Alarm to indicate that UPT(Uniform Passthrough) fails to activate on network adapter,Low,New Alert,
TPM Encryption Recovery Key Backup Alarm,Default alarm which indicates that host configuration is TPM encrypted. Recovery key backup may be performed in order to restore host configuration on TPM failure. https://via.vmw.com/recovery-key-alarm,Low,New Alert,
Trusted Host Attestation Failed Alarm,Default alarm which indicates that a Trusted Host has failed attestation with the configured Trust Authority attestation service(s).,Low,New Alert,
Trusted Infrastructure Host Decommission Alarm,"Alarm to notify that an ESX Host, moved out of a Trust Authority Cluster or Trusted Cluster, must be decommissioned.",Low,New Alert,
Trusted Infrastructure Host Not Configured Alarm,"Alarm to notify that an ESX Host, member of Trust Authority Cluster or Trusted Cluster, is not configured.",Low,New Alert,
Update Manager Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere Update Manager File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
vCenter Server Replication State Change Alarm,This alarm indicates that the vCenter server replication state has changed,Low,New Alert,
vCenter Server Replication Status Change Alarm,This alarm indicates that the vCenter server replication status has changed,Low,New Alert,
Virtual Machine High PMem Bandwidth Usage,The alarm is triggered when the 'Host Memory Mode High Active DRAM' condition is satisfied and this virtual machine?s PMem bandwidth is greater than the required DRAM Bandwidth. Please consider migrating this virtual machine to another host.,Low,New Alert,
vSAN build recommendation alarm 'vSAN build recommendation',"This is the ESXi build that vSAN recommends to be the most appropriate, given the hardware, its compatibility per VMware Compatibility Guide and the available releases from VMware.",Low,New Alert,
vSAN build recommendation alarm 'vSAN build recommendation engine',"vSAN Build Recommendation engine relies on VMware Compatibility Guide and VMware release metadata for its recommendation. It also requires VMware Update Manager service to be available, Internet connectivity, and valid my.vmware.com credential to be set. This alarm is triggered if these dependencies are not met or the recommendation engine is not functioning correctly.",Low,New Alert,
vSAN build recommendation alarm 'vSAN Hosts with new patch available',"Checks if a new critical vSAN patch is available. If this alarm is triggered, upgrade immediately to this patch release. Refer to Ask VMware KB in vSAN health monitor for instructions about how to update vSAN software.",Low,New Alert,
vSAN build recommendation alarm 'vSAN release catalog up-to-date',"Checks the age of the vSAN release catalog used for vSAN Build Recommendation. This alarm is triggered when it's older than 90 or 180 days, respectively. vSAN release catalog is updated when there are new releases or critical patches, so it's important to keep the local copy up-to-date.",Low,New Alert,
vSAN capacity utilization alarm 'Component',"Checks the component utilization for the cluster and for each host. This alarm is triggered as warning or error if the utilization exceeds 80% or 90% in any host. When these limits are reached, the deployment of new virtual machines might fail, or a rebuild operations might not be allowed.  Add more hosts or delete some vSAN objects. However, if the component limit is reached in the witness node, you have to replace it with more capacity.",Low,New Alert,
vSAN capacity utilization alarm 'Read cache reservations',Checks read cache reservations across the cluster. This alarm is triggered as warning or error if the free reservations is less than 30% or 10% of total read cache reservations. This will impact the performance of virtual machines.,Low,New Alert,
vSAN capacity utilization alarm 'Storage space',"Checks if the usage of vSAN cluster capacity tier disks and vSAN managed datastore under the cluster are beyond the thresholds. If there is not enough free capacity tier disk space, the deployment of new virtual machines might fail or component rebuild operations might not be allowed. The running virtual machines might have a pending question in each impacted virtual machine. Refer to Ask VMware KB in vSAN health monitor to recover the virtual machine and vSAN cluster.",Low,New Alert,
vSAN capacity utilization alarm 'What if the most consumed host fails',This alarm simulates the failure of the host with most resources consumed. The resources on that host would no longer be available. vSAN attempts to re-protect all objects now running with reduced redundancy. This alarm is triggered if re-protection of all objects is impossible when utilization is more than 100%.,Low,New Alert,
vSAN cluster alarm 'Advanced vSAN configuration in sync',"vSAN has a number of advanced configuration options for tuning or to address special requirements of particular deployments. Usually these options are changed under the guidance of VMware Support, using a VMware KB article procedure. These advanced options are set per host, which can lead to inconsistent configurations across a cluster. This check ensures that critical vSAN advanced options have the same value or default value across all hosts in a given cluster.",Low,New Alert,
vSAN cluster alarm 'Disk format version',"vSAN cluster expected format version is 13, which is the highest supported format version by any host in the cluster. For disk with format version lower than the expected version, vSAN on-disk format upgrade is recommended to support latest vSAN features.",Low,New Alert,
vSAN cluster alarm 'ESA prescriptive disk claim',ESA prescriptive disk claim,Low,New Alert,
vSAN cluster alarm 'Host Maintenance Mode',"Verifies that the host's maintenance mode is in sync with vSAN node decommission state. If the host is in maintenance mode, the vSAN node should be in decommission state. If a node is decommissioned but the host is not in maintenance mode, place the host into maintenance mode using any vSAN option and then remove it from maintenance mode to reset the vSAN decommission status and make it consistent with the vSphere maintenance mode state.",Low,New Alert,
vSAN cluster alarm 'Host physical memory compliance check',Check if the host physical memory is larger than the minimum vSAN memory requirement.,Low,New Alert,
vSAN cluster alarm 'Maximum host number in vSAN over RDMA',vSAN with RDMA supports up to 32 hosts.,Low,New Alert,
vSAN cluster alarm 'Resync Operations Throttling',"Checks if resync operations are throttled on any hosts. Displays a warning when resync bandwidth limit is configured, and shows an error when the value is less than 20 MBps. Clear the limit, unless you need it for particular cases like significant resync traffic causing high VM latencies. Setting this limit can slow resync-based operations like policy change or maintenance mode.",Low,New Alert,
vSAN cluster alarm 'Software version compatibility',"Once a vSAN cluster starts using a new on-disk format version (after software upgrade), hosts with older software versions that do not support the new on-disk format become incompatible. If such an older host version is introduced in the cluster, this host is placed in a network partition or can only access a very limited set of data. Such configurations are unsupported, and an immediate software upgrade or removal of the older host version are advised.",Low,New Alert,
vSAN cluster alarm 'Time is synchronized across hosts and VC',"Checks the time difference among VMware vCenter and hosts. Any difference larger than 60 seconds will trigger this alarm. If the alarm is triggered, check the NTP server configuration.",Low,New Alert,
vSAN cluster alarm 'vCenter state is authoritative',"During normal operation, VMware vCenter state is regarded as the source of truth, and ESXi hosts are updated with the latest host membership list. When VMware vCenter is replaced or recovered from backup, the host membership list in VMware vCenter might be out of sync. This health check detects such cases, and alerts if VMware vCenter state was not pushed to ESXi due to VMware vCenter being out of sync. In such cases, first fully restore the membership list in VMware vCenter, and then perform Update ESXi configuration action if required.",Low,New Alert,
vSAN cluster alarm 'vSAN Cluster Configuration Consistency',"This alarm is triggered when there are inconsistent configuration (like dedup/compression, encryption) setup on hosts or disks in the cluster. If this alarm is triggered, it means that there are inconsistent configuration  settings (for example: dedup/compression, encryption) on hosts or disks with the cluster. You can go to the corresponding health check page to get more detailed information and remediation steps.",Low,New Alert,
vSAN cluster alarm 'vSAN daemon liveness',Checks the liveness of critical host daemons on all vSAN hosts. NOTE: CLOMD status is not checked on he witness node. EPD status is not checked on witness and metadata node.,Low,New Alert,
vSAN cluster alarm 'vSAN Direct homogeneous disk claiming',"Checks if vSAN Direct disks are homogeneously claimed on hosts in the cluster. If this alarm is triggered, it means that there are inconsistent configuration settings (like disk capacity, mode and number) setup on hosts in the cluster. You can go to the corresponding health check page to get more detailed information and re-configure accordingly.",Low,New Alert,
vSAN cluster alarm 'vSAN disk balance',"This alarm helps a user monitor the balance state among disks. Default setting for Automatic Rebalance is disabled. This alarm is triggered if the imbalance exceeds a system-determined threshold. When Automatic Rebalance is enabled, vSAN automatically rebalances to keep the status green. Rebalance can wait up to 30 minutes to start, giving time to high priority tasks like EMM, repair, etc. to use the resources before rebalancing.",Low,New Alert,
vSAN cluster alarm 'vSAN disk group layout',vSAN requires disk group layout as 64 bit to support the large capacity drive.,Low,New Alert,
vSAN cluster alarm 'vSAN ESA Conversion Health',Check the vSAN ESA cluster conversion status and report warning if it's suspended.,Low,New Alert,
vSAN cluster alarm 'vSAN extended configuration in sync',"vSAN cluster extended configuration defaults are: object repair timer is 60 minutes, site read locality is Enabled, customized swap object is Enabled, large scale cluster support is Disabled, automatic rebalance is off, automatic rebalance threshold is 30. If the host has inconsistent extended configurations, vSAN cluster remediation is recommended. If the host doesn't support any extended configuration, upgrade ESXi software. For cluster scalability configuration to take effect, host reboot might be required.",Low,New Alert,
vSAN cluster alarm 'vSAN Managed disk claim',vSAN Managed disk claim,Low,New Alert,
vSAN cluster alarm 'vSAN optimal datastore default policy configuration',vSAN optimal datastore default policy configuration,Low,New Alert,
vSAN cluster alarm 'vSphere cluster members match vSAN cluster members',"Checks that vSphere cluster members match vSAN cluster members. If this alarm is triggered, it means that vSphere cluster members are not identical to vSAN cluster members. This issue might occur when vSAN is not enabled on certain vSphere cluster members, or when certain vSAN cluster members are not managed by the vSphere cluster. The hosts with mismatched cluster membership appear in the Cluster membership table. You can modify incorrect membership, so that your hosts rejoin appropriate clusters. vSAN configuration is done automatically.",Low,New Alert,
vSAN cluster alarm 'vSphere Lifecycle Manager (vLCM) configuration',vSphere Lifecycle Manager (vLCM) configuration,Low,New Alert,
vSAN cluster alarm 'Witness node is managed by vSphere Lifecycle Manager',The health check is flagged because the cluster is managed by vSphere Lifecycle Manager while the witness node is not.,Low,New Alert,
vSAN data alarm 'vSAN object',This alarm is triggered if some objects in the cluster are not in a healthy state. Check the health monitor for more details.,Low,New Alert,
vSAN data alarm 'vSAN object format',"This alarm is triggered if there are some objects that need to change the object format. The object format change can involve physical on-disk re-layout of objects, which can cause data movement in the cluster. Objects with the old format might not be able to use some of the new features. Check the health monitor for more details.",Low,New Alert,
vSAN data-at-rest encryption alarm 'CPU AES-NI is enabled on hosts',"If this alarm is triggered, it means that there are hosts with CPU AES-NI not supported or disabled. The software encryption will be used, which is significantly slower than AES-NI. Refer to Ask VMware KB in vSAN health monitor for more information.",Low,New Alert,
vSAN data-at-rest encryption alarm 'Dual encryption applied to VMs on vSAN',"This alarm is triggered when vSAN has detected that both VM encryption and vSAN datastore encryption are turned on. Ignore the alarm if this is intended, otherwise turn off one of the encryption types. Refer to Ask VMware KB in vSAN health monitor for encryption best practices.",Low,New Alert,
vSAN data-at-rest encryption alarm 'vCenter and all hosts are connected to Key Management Servers',"If this alarm is triggered, it means that VMware vCenter or hosts have connection issues to Key Management Servers. If VMware vCenter experiences issues with KMS connection, check the KMS setting and status in VMware vCenter configuration page. If any hosts in the cluster have connection issues, check the health results for specific reasons. If the host's KMS configuration is not consistent with the rest of the cluster, run the cluster configuration remediation to update KMS configuration on the host.",Low,New Alert,
vSAN data-in-transient encryption alarm 'Configuration check',"Checks if data-in-transit encryption is configured properly for the cluster. This alarm is triggered if data-in-transit encryption is enabled on the cluster. All hosts are required to have data-in-transit encryption enabled and rest in expected state, otherwise the network traffic might not be properly encrypted.",Low,New Alert,
vSAN file service alarm 'File Server',"Checks if file server is in healthy state. If issues are detected, the file server fails over to another agent VM automatically in most cases. Check more details in vSAN health monitor.",Low,New Alert,
vSAN file service alarm 'Infrastructure Health',Checks file service infrastructure health state for each ESXi host. Issues usually can be remediated automatically once detected. Click Remediate File Service or Remediate Imbalance in vSAN health monitor to force auto remediation. The alarm is skipped if the host is in maintenance mode.  Check for more details in vSAN health monitor.,Low,New Alert,
vSAN file service alarm 'Share Health',Check if the file service share is in healthy state. Check for more details in vSAN health monitor.,Low,New Alert,
vSAN hardware compatibility alarm 'Controller disk group mode is VMware certified',Checks if the vSAN disk group type (all-flash or hybrid) is certified for the SCSI controller listed in the VMware Compatibility Guide. Only the controller which is on the vSAN HCL and certified for the current release of ESXi will be tested.,Low,New Alert,
vSAN hardware compatibility alarm 'Controller driver is VMware certified',Checks if the driver used by a controller is listed as certified in the VMware Compatibility Guide. Only the controller which is on the vSAN HCL and certified for the current release of ESXi will be tested.,Low,New Alert,
vSAN hardware compatibility alarm 'Controller firmware is VMware certified',Checks if controller firmware is certified per the VMware Compatibility Guide. Only the controller which is on the vSAN HCL and certified for the current release of ESXi will be tested.,Low,New Alert,
vSAN hardware compatibility alarm 'Controller is VMware certified for ESXi release',Displays information about the storage I/O controller drivers. Checks if the installed driver is supported for the corresponding controller in the current release of ESXi. Only the VMware certified controller will be tested.,Low,New Alert,
vSAN hardware compatibility alarm 'Controller with pass-through and RAID disks',"Mixing the controller disk mode (pass-through/RAID) causes disks to be handled in different ways by the storage controller. This introduces the possibility that issues affecting one configuration could also affect the other, with possible negative consequences for vSAN. Refer to Ask VMware KB in vSAN health monitor for remediation steps.",Low,New Alert,
vSAN hardware compatibility alarm 'Disks usage on storage controller',vSAN does not support configuration where non-vSAN disks are used for VMFS or Raw Device Mappings(RDMs). Refer to Ask VMware KB in vSAN health monitor for remediation steps.,Low,New Alert,
vSAN hardware compatibility alarm 'Host issues retrieving hardware info',Checks if any host is disconnected/non-responsive or failed to respond to attempts to fetch hardware information. Hosts listed here will not have their hardware checked against the VMware Compatibility Guide.,Low,New Alert,
vSAN hardware compatibility alarm 'NVMe device can be identified',"Checks if there is only one vSAN VCG (VMware Compatibility Guide) entry whose PCI ID matches the one of the NVMe device in the vSAN cluster, so that this NVMe device can be identified for vSAN HCL check.",Low,New Alert,
vSAN hardware compatibility alarm 'NVMe device is VMware certified',"Displays information about the NVMe devices and verifies that the devices are certified in the vSAN VCG (VMware Compatibility Guide). If there is a mismatch, contact VMware support.",Low,New Alert,
vSAN hardware compatibility alarm 'Physical NIC link speed meets requirements',"Network Interface Cards (NICs) used in vSAN hosts must meet certain requirements. These NIC requirements assume that the packet loss is not more than 0.0001% in the hyper-converged environments. It's recommended to use NIC which link speed can meet the minimum requirement. Otherwise, there can be a drastic impact on the vSAN performance.",Low,New Alert,
vSAN hardware compatibility alarm 'RAID controller configuration',vSAN requires some specific controller-level configuration for Pass-Through or RAID0 Single Drive (SSD/HDD) to work optimally with vSAN software-level caches. Refer to Ask VMware KB in vSAN health monitor for detailed cache configuration settings and steps to configure the controller properly.,Low,New Alert,
vSAN hardware compatibility alarm 'SCSI controller is VMware certified',"Displays information about the storage I/O controller and verifies that the controller is supported in the VMware Compatibility Guide, based on its PCI ID. If there is a mismatch, contact VMware support.",Low,New Alert,
vSAN hardware compatibility alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',"VMware does not support configurations where vSAN disks co-exist with VMFS volumes on Dell H730 controller using the lsi_mr3 driver. To remediate this issue, install ESXi on a disk with vSAN drives (ESXi boot disk only) and then remove/delete the VMFS datastore from the local boot device.",Low,New Alert,
vSAN hardware compatibility alarm 'vSAN configuration for LSI-3108 based controller',"To ensure stability and optimal performance of vSAN when running on LSI-3108 based controller, some recommended configuration values must be set. Refer to Ask VMware KB in vSAN health monitor for remediation steps.",Low,New Alert,
vSAN hardware compatibility alarm 'vSAN HCL DB auto update',"Verifies the vSAN HCL database can be downloaded and updated from the VMware HCL release website automatically. When there is no internet access to the VMware public website or the vSAN HCL database auto-update is not enabled, this health check will be in silent health check list by default to show skipped status, unless user manually removes it from silent list. Otherwise, it shows warning if the HCL database cannot be auto-updated for any other reason, for example, if it cannot connect VMware HCL release website, fail to download latest HCL database, or fail to update the local HCL database.",Low,New Alert,
vSAN hardware compatibility alarm 'vSAN HCL DB up-to-date',"Checks the age of the VMware Hardware Compatibility Guide database used for the HCL checks. Shows warning when it is older than 90 days or none. ESXi versions on the cluster are included in the local HCL database. Shows error when it is older than 180 days. VMware updates the VCG frequently, so it is important to keep the local copy up-to-date.",Low,New Alert,
vSAN health alarm 'Advisor',Default alarm to monitor changes for the health test 'Advisor',Low,New Alert,
vSAN health alarm 'HPE NVMe Solid State Drives - critical firmware upgrade required',Default alarm to monitor changes for the health test 'HPE NVMe Solid State Drives - critical firmware upgrade required',Low,New Alert,
vSAN Health Service Alarm,Default alarm that monitors the health status of vSAN Health Services.,Low,New Alert,
vSAN hyperconverged cluster configuration alarm 'Host compliance check for hyperconverged cluster configuration',"Checks if the configuration of each host is compliant with the hyperconverged cluster configuration. The hosts must all be attached to the vSphere Distributed Switch with the same adapters. The adapters must be present on the correct distributed port groups, and the NTP server and lockdown mode must be configured according to specifications.",Low,New Alert,
vSAN hyperconverged cluster configuration alarm 'VDS compliance check for hyperconverged cluster configuration',Checks if the vSphere Distributed Switch is alive and the distributed port groups configuration is compliant with the hyperconverged cluster configuration.,Low,New Alert,
vSAN iSCSI target service alarm 'Home object',"Home object stores metadata used by the vSAN iSCSI target service. This alarm verifies the following items: The home object has been created and can be located in the system. The home object is healthy and is compliant with the storage policy. The home object is unique. If multiple home objects exist, some of the hosts in the cluster might access a different home object. The metadata file in the home object is present and can be parsed, and that all metadata is properly stored.",Low,New Alert,
vSAN iSCSI target service alarm 'LUN runtime health',"All iSCSI LUN(s) runtime status should be consistent with their configuration status. If not, the unhealthy vSAN iSCSI LUN(s) may not work properly. Please check if any iSCSI related health issue firstly, then click the LUN runtime health > Remediate button to try to fix this issue.",Low,New Alert,
